,NPVs
0,249169.4352159468
1,248341.62978333567
2,247516.57453488605
3,246694.26033377345
4,245874.67807352834
5,245057.81867793517
6,244243.67310093206
7,243432.23232651033
8,242623.48736861494
9,241817.4292710448
10,241014.04910735358
11,240213.33798075106
12,239415.28702400436
13,238619.88739933984
14,237827.13029834538
15,237037.00694187245
16,236249.50857993928
17,235464.62649163386
18,234682.3519850171
19,233902.676397027
20,233125.59109338236
21,232351.08746848739
22,231579.15694533626
23,230809.7909754182
24,230042.98103862273
25,229278.71864314555
26,228516.99532539424
27,227757.80264989455
28,227001.13220919724
29,226246.9756237846
30,225495.32454197799
31,224746.17063984516
32,223999.50562110814
33,223255.32121705124
34,222513.60918642982
35,221774.3613153785
36,221037.56941732077
37,220303.22533287783
38,219571.32092977857
39,218841.84810276932
40,218114.7987735242
41,217390.16489055566
42,216667.93842912524
43,215948.1113911547
44,215230.67580513758
45,214515.62372605072
46,213802.94723526647
47,213092.6384404649
48,212384.68947554642
49,211679.0925005446
50,210975.83970153943
51,210274.92329057085
52,209576.33550555233
53,208880.068610185
54,208186.11489387212
55,207494.4666716333
56,206805.1162840199
57,206118.05609702977
58,205433.278502023
59,204750.77591563755
60,204070.54077970516
61,203392.56556116792
62,202716.8427519946
63,202043.3648690976
64,201372.12445425006
65,200703.11407400336
66,200036.32631960468
67,199371.75380691496
68,198709.38917632715
69,198049.22509268488
70,197391.25424520083
71,196735.4693473763
72,196081.86313691986
73,195430.4283756676
74,194781.15784950258
75,194134.044368275
76,193489.08076572255
77,192846.25989939124
78,192205.57465055605
79,191567.01792414222
80,190930.58264864673
81,190296.2617760598
82,189664.0482817872
83,189033.93516457194
84,188405.9154464172
85,187779.98217250884
86,187156.12841113834
87,186534.34725362624
88,185914.6318142454
89,185296.97523014492
90,184681.37066127398
91,184067.8112903063
92,183456.29032256437
93,182846.80098594454
94,182239.33653084174
95,181633.89023007482
96,181030.4553788121
97,180429.02529449709
98,179829.5933167745
99,179232.15280741642
100,178636.69715024892
101,178043.21975107864
102,177451.71403761988
103,176862.1734594218
104,176274.5914877958
105,175688.9616157433
106,175105.2773578837
107,174523.53225038238
108,173943.71985087945
109,173365.83373841803
110,172789.86751337344
111,172215.81479738216
112,171643.66923327127
113,171073.42448498795
114,170505.0742375295
115,169938.61219687323
116,169374.0320899069
117,168811.32766435898
118,168250.4926887299
119,167691.52095222246
120,167134.40626467354
121,166579.14245648525
122,166025.7233785567
123,165474.14290221597
124,164924.3949191521
125,164376.47334134762
126,163830.3721010109
127,163286.08515050917
128,162743.6064623015
129,162202.93002887192
130,161664.04986266303
131,161126.95999600965
132,160591.65448107274
133,160058.1273897735
134,159526.3728137277
135,158996.3848641804
136,158468.1576719406
137,157941.68538731622
138,157416.96218004936
139,156893.98223925184
140,156372.7397733407
141,155853.2290099741
142,155335.44419598745
143,154819.37959732968
